      0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19 
 0    0   37   32 1079  337  187  832  195  662  463  704 1412  637  734  186 1806  298 1130  694  398 
 1   37    0   79 1336  340  158  753  184  827  794 1233  925 1088  819  239  757  549 1413  613 1024 
 2   32   79    0 1099  295  159  612  183  498 1131  432 1084  575  634  218  506  342 1030  596  638 
 3 1079 1336 1099    0  766  872  213  756  419  576  307  105  320  247 1003  339  623  183  855  189 
 4  337  340  295  766    0  112  625  142  419  226  267  791  436  581   73  353   23  885  403  545 
 5  187  158  159  872  112    0  799   84  395  248  297  717  566  527   39  525  189 1655  383   36 
 6  832  753  612  213  625  799    0  891  490  347  150   88  123   68  436  136  466  182  526    2 
 7  195  184  183  756  142   84  891    0  477  278  489  919  570  635   95  639  149  855  729    2 
 8  662  827  498  419  419  395  490  477    0  111   86  794  121  338  388   84  350  464   26  592 
 9  463  794 1131  576  226  248  347  278  111    0   35  593   74  131  209  117  217  361  167   72 
10  704 1233  432  307  267  297  150  489   86   35    0  468   35   84  364   16  518  382  124  360 
11 1412  925 1084  105  791  717   88  919  794  593  468    0  193  160  582  226 1056   98 1356    2 
12  637 1088  575  320  436  566  123  570  121   74   35  193    0   55  491   17  305  285   93  456 
13  734  819  634  247  581  527   68  635  338  131   84  160   55    0  334   70  530  274  156  503 
14  186  239  218 1003   73   39  436   95  388  209  364  582  491  334    0  480   60 1234  370    2 
15 1806  757  506  339  353  525  136  639   84  117   16  226   17   70  480    0  312  306  186  697 
16  298  549  342  623   23  189  466  149  350  217  518 1056  305  530   60  312    0  794  456  397 
17 1130 1413 1030  183  885 1655  182  855  464  361  382   98  285  274 1234  306  794    0  998 1254 
18  694  613  596  855  403  383  526  729   26  167  124 1356   93  156  370  186  456  998    0  143 
19  398 1024  638  189  545   36    2    2  592   72  360    2  456  503    2  697  397 1254  143    0 
