      1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18 
 1    0   69 1068  392  154  999  174  909  418  463  975  534  571  169  481  285  891  985 
 2   69    0  813  197   95  658  127  490  355  370  696  427  508  116  408  178  748  630 
 3 1068  813    0  618 1882  203  906  491  390  375  105  304  267  621  341  811  191  661 
 4  392  197  618    0  112  377  142  371  148  185  473  210  311   73  201   25  635  399 
 5  154   95 1882  112    0  495   40  337  246  339  563  364  505   37  321  101  675  461 
 6  999  658  203  377  495    0  505  232  215  218  144  121   68  436  122  484  224  454 
 7  174  127  906  142   40  505    0  385  282  355  587  376  475   65  387  219  919  395 
 8  909  490  491  371  337  232  385    0   85   60  276   89  200  294   92  394  432   26 
 9  418  355  390  148  246  215  282   85    0   35  277   62  127  209   63  187  391   95 
10  463  370  375  185  339  218  355   60   35    0  214   23   86  248   18  246  320   86 
11  975  696  105  473  563  144  587  276  277  214    0  189  154  500  212  572   98  482 
12  534  427  304  210  364  121  376   89   62   23  189    0   55  283   17  295  287  109 
13  571  508  267  311  505   68  475  200  127   86  154   55    0  352   72  376  246  208 
14  169  116  621   73   37  436   65  294  209  248  500  283  352    0  282   56  666  306 
15  481  408  341  201  321  122  387   92   63   18  212   17   72  282    0  288  300   90 
16  285  178  811   25  101  484  219  394  187  246  572  295  376   56  288    0  742  376 
17  891  748  191  635  675  224  919  432  391  320   98  287  246  666  300  742    0  498 
18  985  630  661  399  461  454  395   26   95   86  482  109  208  306   90  376  498    0 
