      0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17 
 0    0    .   81   67  421    .  800  101  787   33  253  465  393  374  763  978  303 long 
 1    .    0    .    .    .    .  905    .    .    .    .    .  456    .    .    .    .    . 
 2   81    .    0    .    .    .  439    . 1486   70    .    .  654    .    .    .    .    . 
 3   67    .    .    0    .    . 1347    .    .  104    .    .  720    .    .    .    .    . 
 4  421    .    .    .    0    .  351    .    .  222    .    .  116    .    .    .    .    . 
 5    .    .    .    .    .    0   92    .    .    .    .    .  245    .    .    .    .    . 
 6  800  905  439 1347  351   92    0  451  165 1241  435  235  299  820  319 1078  325  324 
 7  101    .    .    .    .    .  451    0  742  110    .    .  180    .    .    .    .    . 
 8  787    . 1486    .    .    .  165  742    0  454  762  684  454    .    .  275    .  311 
 9   33    .   70  104  222    . 1241  110  454    0  500    .  358   67  496    .    .    . 
10  253    .    .    .    .    .  435    .  762  500    0    .  494    .    .    .    .    . 
11  465    .    .    .    .    .  235    .  684    .    .    0  110    .    .    .    .    . 
12  393  456  654  720  116  245  299  180  454  358  494  110    0  611  542  799  212 2163 
13  374    .    .    .    .    .  820    .    .   67    .    .  611    0    .    .    .    . 
14  763    .    .    .    .    .  319    .    .  496    .    .  542    .    0    .    .    . 
15  978    .    .    .    .    . 1078    .  275    .    .    .  799    .    .    0    .    . 
16  303    .    .    .    .    .  325    .    .    .    .    .  212    .    .    .    0    . 
17 long    .    .    .    .    .  324    .  311    .    .    . 2163    .    .    .    .    0 
